tiempo,origin,timestamp,class,details
2024-02-29 18:36:30.413351,NodoTest001,734648,received,1709242590071
2024-02-29 18:36:30.420353,NodoTest001,734661,received,1709242590172
2024-02-29 18:36:30.426351,NodoTest001,734683,keepAlive,
2024-02-29 18:36:30.447862,NodoTest001,734853,received,1709242590271
2024-02-29 18:36:30.455584,NodoTest001,734865,received,1709242590372
2024-02-29 18:36:30.506755,NodoTest001,734934,received,1709242590471
2024-02-29 18:36:30.630108,NodoTest001,735056,received,1709242590572
2024-02-29 18:36:30.836651,NodoTest001,735262,received,1709242590672
2024-02-29 18:36:31.027361,NodoTest001,735275,received,1709242590771
2024-02-29 18:36:31.098149,NodoTest001,735468,received,1709242590872
2024-02-29 18:36:31.105463,NodoTest001,735480,received,1709242590971
2024-02-29 18:36:31.196543,NodoTest001,735534,received,1709242591072
2024-02-29 18:36:31.437692,NodoTest001,735634,received,1709242591171
2024-02-29 18:36:31.443692,NodoTest001,735683,keepAlive,
2024-02-29 18:36:31.452356,NodoTest001,735877,received,1709242591272
2024-02-29 18:36:31.464987,NodoTest001,735890,received,1709242591371
2024-02-29 18:36:31.507881,NodoTest001,735933,received,1709242591471
2024-02-29 18:36:31.611538,NodoTest001,736036,received,1709242591572
2024-02-29 18:36:31.708175,NodoTest001,736133,received,1709242591671
2024-02-29 18:36:31.858807,NodoTest001,736285,received,1709242591771
2024-02-29 18:36:31.906543,NodoTest001,736333,received,1709242591872
2024-02-29 18:36:32.006767,NodoTest001,736433,received,1709242591971
2024-02-29 18:36:32.253757,NodoTest001,736683,keepAlive,
2024-02-29 18:36:32.296202,NodoTest001,736696,received,1709242592071
2024-02-29 18:36:32.303481,NodoTest001,736708,received,1709242592172
2024-02-29 18:36:32.310481,NodoTest001,736734,received,1709242592271
2024-02-29 18:36:32.474271,NodoTest001,736899,received,1709242592372
2024-02-29 18:36:32.508999,NodoTest001,736935,received,1709242592471
2024-02-29 18:36:32.679398,NodoTest001,737104,received,1709242592572
2024-02-29 18:36:32.709188,NodoTest001,737134,received,1709242592671
2024-02-29 18:36:32.882358,NodoTest001,737308,received,1709242592772
2024-02-29 18:36:32.907293,NodoTest001,737333,received,1709242592871
2024-02-29 18:36:33.008351,NodoTest001,737434,received,1709242592972
2024-02-29 18:36:33.278203,NodoTest001,737683,keepAlive,
2024-02-29 18:36:33.295882,NodoTest001,737720,received,1709242593071
2024-02-29 18:36:33.307385,NodoTest001,737733,received,1709242593172
2024-02-29 18:36:33.487178,NodoTest001,737746,received,1709242593272
2024-02-29 18:36:33.506470,NodoTest001,737924,received,1709242593371
2024-02-29 18:36:33.696312,NodoTest001,737945,received,1709242593471
2024-02-29 18:36:33.704137,NodoTest001,738129,received,1709242593572
2024-02-29 18:36:33.895552,NodoTest001,738142,received,1709242593672
2024-02-29 18:36:33.951491,NodoTest001,738336,received,1709242593771
2024-02-29 18:36:33.959493,NodoTest001,738348,received,1709242593872
2024-02-29 18:36:34.100260,NodoTest001,738434,received,1709242593972
2024-02-29 18:36:34.113696,NodoTest001,738539,received,1709242594071
2024-02-29 18:36:34.303405,NodoTest001,738683,keepAlive,
2024-02-29 18:36:34.509514,NodoTest001,738744,received,1709242594172
2024-02-29 18:36:34.517611,NodoTest001,738757,received,1709242594271
2024-02-29 18:36:34.712449,NodoTest001,738949,received,1709242594372
2024-02-29 18:36:34.720444,NodoTest001,738961,received,1709242594471
2024-02-29 18:36:34.919670,NodoTest001,739153,received,1709242594572
2024-02-29 18:36:34.927682,NodoTest001,739166,received,1709242594672
2024-02-29 18:36:34.953574,NodoTest001,739359,received,1709242594771
2024-02-29 18:36:34.962083,NodoTest001,739371,received,1709242594872
2024-02-29 18:36:35.007606,NodoTest001,739433,received,1709242594971
2024-02-29 18:36:35.136831,NodoTest001,739562,received,1709242595072
2024-02-29 18:36:35.326814,NodoTest001,739683,keepAlive,
2024-02-29 18:36:35.396039,NodoTest001,739768,received,1709242595171
2024-02-29 18:36:35.404399,NodoTest001,739781,received,1709242595272
2024-02-29 18:36:35.532974,NodoTest001,739836,received,1709242595371
2024-02-29 18:36:35.595020,NodoTest001,739973,received,1709242595472
2024-02-29 18:36:35.738247,NodoTest001,740034,received,1709242595571
2024-02-29 18:36:35.794107,NodoTest001,740177,received,1709242595672
2024-02-29 18:36:35.944251,NodoTest001,740234,received,1709242595771
2024-02-29 18:36:35.960322,NodoTest001,740382,received,1709242595872
2024-02-29 18:36:36.009668,NodoTest001,740434,received,1709242595971
2024-02-29 18:36:36.109882,NodoTest001,740536,received,1709242596072
2024-02-29 18:36:36.348525,NodoTest001,740683,keepAlive,
2024-02-29 18:36:36.395517,NodoTest001,740792,received,1709242596172
2024-02-29 18:36:36.403680,NodoTest001,740804,received,1709242596272
2024-02-29 18:36:36.556174,NodoTest001,740834,received,1709242596371
2024-02-29 18:36:36.596282,NodoTest001,740996,received,1709242596472
2024-02-29 18:36:36.761440,NodoTest001,741035,received,1709242596571
2024-02-29 18:36:36.774824,NodoTest001,741201,received,1709242596672
2024-02-29 18:36:36.806442,NodoTest001,741234,received,1709242596771
2024-02-29 18:36:36.978753,NodoTest001,741405,received,1709242596872
2024-02-29 18:36:37.008658,NodoTest001,741435,received,1709242596971
2024-02-29 18:36:37.182909,NodoTest001,741610,received,1709242597072
2024-02-29 18:36:37.208414,NodoTest001,741634,received,1709242597172
2024-02-29 18:36:37.373371,NodoTest001,741683,keepAlive,
2024-02-29 18:36:37.397875,NodoTest001,741815,received,1709242597271
2024-02-29 18:36:37.581487,NodoTest001,741836,received,1709242597372
2024-02-29 18:36:37.597173,NodoTest001,742021,received,1709242597471
2024-02-29 18:36:37.612277,NodoTest001,742037,received,1709242597572
2024-02-29 18:36:37.797481,NodoTest001,742224,received,1709242597672
2024-02-29 18:36:37.996077,NodoTest001,742237,received,1709242597771
2024-02-29 18:36:38.003409,NodoTest001,742430,received,1709242597871
2024-02-29 18:36:38.195454,NodoTest001,742443,received,1709242597972
2024-02-29 18:36:38.208856,NodoTest001,742635,received,1709242598071
2024-02-29 18:36:38.605327,NodoTest001,742648,received,1709242598172
2024-02-29 18:36:38.611328,NodoTest001,742683,keepAlive,
2024-02-29 18:36:38.810129,NodoTest001,743047,received,1709242598271
2024-02-29 18:36:38.818129,NodoTest001,743060,received,1709242598372
2024-02-29 18:36:38.826129,NodoTest001,743072,received,1709242598471
2024-02-29 18:36:38.833633,NodoTest001,743094,received,1709242598571
2024-02-29 18:36:38.840633,NodoTest001,743250,received,1709242598672
2024-02-29 18:36:39.015778,NodoTest001,743263,received,1709242598771
2024-02-29 18:36:39.220018,NodoTest001,743454,received,1709242598872
2024-02-29 18:36:39.227609,NodoTest001,743467,received,1709242598972
2024-02-29 18:36:39.425332,NodoTest001,743659,received,1709242599071
2024-02-29 18:36:39.434035,NodoTest001,743671,received,1709242599172
2024-02-29 18:36:39.439027,NodoTest001,743683,keepAlive,
2024-02-29 18:36:39.457152,NodoTest001,743864,received,1709242599271
2024-02-29 18:36:39.465152,NodoTest001,743877,received,1709242599372
2024-02-29 18:36:39.506659,NodoTest001,743934,received,1709242599471
2024-02-29 18:36:39.608191,NodoTest001,744034,received,1709242599572
2024-02-29 18:36:39.707981,NodoTest001,744134,received,1709242599672
2024-02-29 18:36:39.807476,NodoTest001,744234,received,1709242599771
2024-02-29 18:36:39.907706,NodoTest001,744334,received,1709242599872
2024-02-29 18:36:40.007328,NodoTest001,744433,received,1709242599971
2024-02-29 18:36:40.107719,NodoTest001,744535,received,1709242600072
2024-02-29 18:36:40.207048,NodoTest001,744634,received,1709242600171
2024-02-29 18:36:40.446079,NodoTest001,744683,keepAlive,
2024-02-29 18:36:40.461165,NodoTest001,744888,received,1709242600272
2024-02-29 18:36:40.497553,NodoTest001,744901,received,1709242600372
2024-02-29 18:36:40.510932,NodoTest001,744936,received,1709242600471
